morphology_code,preferred_term,search_terms
9733/3,Plasma cell leukemia [PRE-2010 ONLY. FOR 2010+ USE CODE 9832/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Plasma cell leukemia [PRE-2010 ONLY. FOR 2010+ USE CODE 9832/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Leukemia, plasma cell [PRE-2010 ONLY. FOR 2010+ USE CODE 9832/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Leukemia, plasmacytic [PRE-2010 ONLY. FOR 2010+ USE CODE 9832/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Plasmacytic leukemia [PRE-2010 ONLY. FOR 2010+ USE CODE 9832/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9734/3,"Plasmacytoma, extramedullary (not occurring in bone) [SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Plasmacytoma, extramedullary (not occurring in bone) [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Extramedullary plasmacytoma (not occurring in bone) [SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9735/3,Plasmablastic lymphoma [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],Plasmablastic lymphoma [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]
9737/3,ALK-positive large B-cell lymphoma [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],ALK-positive large B-cell lymphoma [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]
9738/1,HHV8-positive germinotropic-lymphoproliferative disorder [SEE HEMATOPOIETIC DATABASE FOR REPORTING],HHV8-positive germinotropic-lymphoproliferative disorder [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; KSHV/HHV8-positive germinotropic lymphoproliferative disorder (GLPD) [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; KSHV/HHV8-positive germinotropic lymphoproliferative disorder (GLPD)
9738/3,HHV8-positive diffuse large B-cell lymphoma [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],HHV8-positive diffuse large B-cell lymphoma [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; KSHV/HHV8-positive diffuse large B-cell lymphoma [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; KSHV/HHV8-positive diffuse large B-cell lymphoma
9740/1,"Mastocytoma, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Mastocytoma, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mast cell tumor, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Tumor, mast cell, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9740/3,Mast cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Mast cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Malignant mast cell tumor [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Malignant mastocytoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mast cell tumor, malignant [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mastocytoma, malignant [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, mast cell [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Tumor, mast cell, malignant [SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9741/1,Indolent systemic mastocytosis [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Indolent systemic mastocytosis [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mastocytosis, indolent systemic [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Systemic mastocytosis, indolent [SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9741/3,Malignant mastocytosis [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Malignant mastocytosis [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, mast cell, systemic tissue [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, systemic tissue mast cell [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mast cell disease, systemic tissue [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mastocytosis, malignant [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Systemic tissue mast cell disease [SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9742/3,Mast cell leukemia (C42.1; SEE HEMATOPOIETIC DATABASE FOR REPORTING),"Mast cell leukemia (C42.1; SEE HEMATOPOIETIC DATABASE FOR REPORTING); Leukemia, mast cell (C42.1; SEE HEMATOPOIETIC DATABASE FOR REPORTING)"
9749/1,Juvenile xanthogranuloma (C71.5) [2023+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Juvenile xanthogranuloma (C71.5) [2023+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Xanthogranuloma, juvenile (C71.5) [2023+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9749/3,Erdheim-Chester disease [2021+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Erdheim-Chester disease [2021+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, Erdheim-Chester [2021+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, Rosai-Dorfman [2023+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Rosai-Dorfman disease [2023+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9750/3,Malignant histiocytosis [PRE-2010 ONLY. FOR 2010+ USE CODE 9651/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Malignant histiocytosis [PRE-2010 ONLY. FOR 2010+ USE CODE 9651/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; ALK-positive histiocytosis [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; ALK-rearranged histiocytosis [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; ALK-related histiocytosis [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytic medullary reticulosis [PRE-2010 ONLY. FOR 2010+ USE CODE 9651/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, malignant [PRE-2010 ONLY. FOR 2010+ USE CODE 9651/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Medullary histiocytic reticulosis [PRE-2010 ONLY. FOR 2010+ USE CODE 9651/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Medullary reticulosis, histiocytic [PRE-2010 ONLY. FOR 2010+ USE CODE 9651/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Reticulosis, histiocytic medullary [PRE-2010 ONLY. FOR 2010+ USE CODE 9651/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; ALK-positive histiocytosis; ALK-rearranged histiocytosis; ALK-related histiocytosis"
9751/1,"Langerhans cell histiocytosis, NOS [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3. FOR PRE-2010 USE CODE 9750/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Langerhans cell histiocytosis, NOS [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3. FOR PRE-2010 USE CODE 9750/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, mono-ostotic [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, poly-ostotic [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, mono-ostotic [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, poly-ostotic [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mono-ostotic Langerhans cell histiocytosis [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Poly-ostotic Langerhans cell histiocytosis [NOT REPORTABLE 2021+. FOR 2010 - 2020 USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9751/3,"Langerhans cell histiocytosis, disseminated [SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Langerhans cell histiocytosis, disseminated [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Acute progressive histiocytosis X [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, Hand-Schuller-Christian (if multiple lesions or visceral involvement) [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, Letterer-Siwe [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disseminated Langerhans cell histiocytosis [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Eosinophilic granuloma [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Generalized Langerhans cell histiocytosis [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Granuloma, eosinophilic [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Granulomatosis, Langerhans cell [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Granulomatosis, Langerhans cell, unifocal [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Hand-Schuller-Christian disease [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis X, acute progressive [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis X, NOS [obs] [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell [REPORTABLE 2010 - 2020 ONLY. FOR 2021+ USE CODE 9751/1; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, disseminated [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, generalized [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, mono-ostotic [REPORTABLE 2010 - 2020 ONLY. FOR 2021+ USE CODE 9751/1; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, multifocal [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, poly-ostotic [REPORTABLE 2010 - 2020 ONLY. FOR 2021+ USE CODE 9751/1; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytosis, Langerhans cell, unifocal [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell granulomatosis [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell granulomatosis, unifocal [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, generalized [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, mono-ostotic [REPORTABLE 2010 - 2020 ONLY. FOR 2021+ USE CODE 9751/1; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, multifocal [REPORTABLE 2010+;  SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, NOS [FOR 2010-2020 ONLY. FOR 2021+ USE CODE 9751/1. FOR PRE-2010 USE CODE 9750/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, poly-ostotic [REPORTABLE 2010 - 2020 ONLY. FOR 2021+ USE CODE 9751/1; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell histiocytosis, unifocal [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Letterer-Siwe disease (if disseminated or visceral involvement) [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mono-ostotic Langerhans cell histiocytosis [REPORTABLE 2010 - 2020 ONLY. FOR 2021+ USE CODE 9751/1; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Multifocal Langerhans cell histiocytosis [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Nonlipid reticuloendotheliosis [obs] [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Poly-ostotic Langerhans cell histiocytosis [REPORTABLE 2010 - 2020 ONLY. FOR 2021+ USE CODE 9751/1; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Progressive histiocytosis X, acute [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Reticuloendotheliosis, nonlipid [obs] [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Unifocal Langerhans cell granulomatosis [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Unifocal Langerhans cell histiocytosis [REPORTABLE 2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9752/1,"Langerhans cell histiocytosis, unifocal [obs] [PRE-2010 NOT REPORTABLE. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Langerhans cell histiocytosis, unifocal [obs] [PRE-2010 NOT REPORTABLE. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Unifocal Langerhans cell histiocytosis [obs] [PRE-2010 NOT REPORTABLE. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9753/1,"Langerhans cell histiocytosis, multifocal [obs] [PRE-2010 NOT REPORTABLE. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Langerhans cell histiocytosis, multifocal [obs] [PRE-2010 NOT REPORTABLE. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Multifocal Langerhans cell histiocytosis [obs] [PRE-2010 NOT REPORTABLE. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9754/3,"Langerhans cell histiocytosis, disseminated [obs] [FOR 1978-2009 ONLY. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Langerhans cell histiocytosis, disseminated [obs] [FOR 1978-2009 ONLY. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disseminated Langerhans cell histiocytosis [obs] [FOR 1978-2009 ONLY. FOR 2010+ USE CODE 9751/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9755/3,Histiocytic sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Histiocytic sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Histiocytic lymphoma, true [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphoma (malignant), histiocytic, true [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphoma (malignant), true histiocytic [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, histiocytic [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; True histiocytic lymphoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9756/3,Langerhans cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Langerhans cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell sarcoma, Primary [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell sarcoma, Secondary [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Malignant histiocytosis of Langerhans phenotype [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, Langerhans cell [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Langerhans cell sarcoma, Primary; Langerhans cell sarcoma, Secondary; Malignant histiocytosis of Langerhans phenotype"
9757/3,Interdigitating dendritic cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Interdigitating dendritic cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Dendritic cell sarcoma, interdigitating [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Dendritic cell sarcoma, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Indeterminate dendritic cell histiocytosis [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Interdigitating cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, dendritic cell, interdigitating [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, dendritic cell, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, interdigitating cell [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, interdigitating dendritic cell [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Indeterminate dendritic cell histiocytosis"
9758/3,Follicular dendritic cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Follicular dendritic cell sarcoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Dendritic cell sarcoma, follicular [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Dendritic cell tumor, follicular [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; EBV-positive inflammatory follicular dendritic cell sarcoma [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Follicular dendritic cell tumor [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, dendritic cell, follicular [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Sarcoma, follicular dendritic cell [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Tumor, dendritic cell, follicular [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Tumor, follicular dendritic cell [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; EBV-positive inflammatory follicular dendritic cell sarcoma"
9759/3,Fibroblastic reticular cell tumor [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],Fibroblastic reticular cell tumor [2010+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Fibroblastic reticular cell sarcoma [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Fibroblastic reticular cell sarcoma
9760/1,Cold agglutinin disease [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],Cold agglutinin disease [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgG4-related disease [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgG4-related disease; Cold agglutinin disease; Cold agglutin disease
9760/3,"Immunoproliferative disease, NOS [PRE-2010 ONLY. FOR 2010+ SEE CODES 9761/3 AND 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Immunoproliferative disease, NOS [PRE-2010 ONLY. FOR 2010+ SEE CODES 9761/3 AND 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, immunoproliferative, NOS [PRE-2010 ONLY. FOR 2010+ SEE CODES 9761/3 AND 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9761/1,IgM monoclonal gammopathy of undetermined significance [2021+; SEE HEMATOPOIETIC DATABASE FOR REPORTING],"IgM monoclonal gammopathy of undetermined significance [2021+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Gammopathy, IgM monoclonal of undetermined significance [2021+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9761/3,Waldenstrom macroglobulinemia [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Waldenstrom macroglobulinemia [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgM LPL/Waldenstrom Macroglobulinemia type [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgM-type lymphoplasmacytic lymphoma/Waldenstrom macroglobulinemia [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Macroglobulinemia, Waldenstrom [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Non-IgM LPL/Waldenstrom Macroglobulinemia type [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Non-IgM-type lymphoplasmacytic lymphoma/Waldenstrom macroglobulinemia [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgM LPL/Waldenstrom Macroglobulinemia type; IgM-type lymphoplasmacytic lymphoma/Waldenstrom macroglobulinemia; Non-IgM-type lymphoplasmacytic lymphoma/Waldenstrom macroglobulinemia; Non-IgM LPL/Waldenstrom Macroglobulinemia type"
9762/3,Heavy chain disease [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Heavy chain disease [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Alpha heavy chain disease [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Chain disease, alpha heavy [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Chain disease, gamma heavy [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Chain disease, mu heavy [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Chain disease, NOS, heavy [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, alpha heavy chain [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, Franklin [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, gamma heavy chain [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, heavy chain, alpha [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, heavy chain, gamma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, heavy chain, mu [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, heavy chain, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, mu heavy chain [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Franklin disease [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Gamma heavy chain disease [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Heavy chain disease, alpha [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Heavy chain disease, gamma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Heavy chain disease, mu [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphoma (malignant), Mediterranean [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mediterranean lymphoma [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mu heavy chain disease [SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9764/3,Immunoproliferative small intestinal disease (C17._) [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Immunoproliferative small intestinal disease (C17._) [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, immunoproliferative small intestinal (C17._) [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Disease, small intestinal, immunoproliferative (C17._) [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Intestinal, small, immunoproliferative disease (C17._) [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphoma (malignant), Mediterranean [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Mediterranean lymphoma [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Small intestinal immunoproliferative disease (C17._) [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9765/1,Monoclonal gammopathy of undetermined significance [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Monoclonal gammopathy of undetermined significance [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Gammopathy, monoclonal, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Gammopathy, monoclonal, of undetermined significance [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgA MGUS [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgD MGUS [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgE MGUS [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgG MGUS [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Light chain MGUS [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; MGUS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Monoclonal gammopathy of renal significance [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Monoclonal gammopathy, NOS [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Undetermined significance, monoclonal gammopathy of [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; IgA MGUS; IgD MGUS; IgE MGUS; IgG MGUS; Light chain MGUS; Monoclonal gammopathy of renal significance"
9766/1,Angiocentric immunoproliferative lesion [SEE HEMATOPOIETIC DATABASE FOR REPORTING],"Angiocentric immunoproliferative lesion [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Granulomatosis, lymphomatoid [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Granulomatosis, lymphomatoid, grade 1 [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Granulomatosis, lymphomatoid, grade 2 [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Immunoproliferative angiocentric lesion [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Immunoproliferative lesion, angiocentric [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lesion, angiocentric immunoproliferative [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphomatoid granulomatosis [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphomatoid granulomatosis, grade 1 [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphomatoid granulomatosis, grade 2 [SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphomatoid papulosis (C44._) [FOR 2021+ NOT REPORTABLE; USE CODE 9718/1 FOR 2010-2020; USE CODE 9718/3 FOR PRE-2010. SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Papulosis, lymphomatoid (C44._) [FOR 2021+ NOT REPORTABLE; USE CODE 9718/1 FOR 2010-2020; USE CODE 9718/3 FOR PRE-2010. SEE HEMATOPOIETIC DATABASE FOR REPORTING]"
9766/3,"Lymphomatoid granulomatosis, grade 3 [2021+; FOR PRE-2021 USE CODE 9680/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]","Lymphomatoid granulomatosis, grade 3 [2021+; FOR PRE-2021 USE CODE 9680/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; EBV-positive diffuse large B-cell lymphoma [2026+; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Granulomatosis, lymphomatoid, grade 3 [2021+; FOR PRE-2021 USE CODE 9680/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Lymphomatoid Papulosis, Grade 3 [2021+; FOR PRE 2021 USE CODE 9680/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; Papulosis Lymphomatoid, Grade 3 [2021+; FOR PRE 2021 USE CODE 9680/3; SEE HEMATOPOIETIC DATABASE FOR REPORTING]; EBV-positive diffuse large B-cell lymphoma"
